location,population,positive_rate,case_rate_per_100k,mortality_rate_per_100k,testing_rate_per_1k,vaccination_rate_pct,hospitalization_rate_per_100k,icu_rate_per_100k,case_fatality_rate_pct,recent_case_growth,recent_death_growth,case_to_test_ratio,days_to_peak,peak_case_rate_per_100k,recovery_speed,days_to_50pct_vax,vax_acceleration
Congo,5970430,,422.532380414811,6.51544361126418,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.5419986522376818,0.0,0.0,0.0,658.0,19.8980642935266,-0.021652088768762012,209.0,0.07965035055223063
Cook Islands,17032,,43124.70643494598,11.742602160638798,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.027229407760381213,0.047619047619047616,0.0,0.0,63.0,6100.281822451855,-0.013814740063153093,21.0,0.07965035055223063
Costa Rica,5180836,,23832.080382393884,180.8974458948324,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.7590501668015172,12.047619047619047,0.0,0.0,700.0,762.2514976347447,-2.3402944933761898,290.0,0.1262587261973923
Cote d'Ivoire,28160548,,314.0350819877511,2.9651411613154686,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.9442069792161386,0.047619047619047616,0.0,0.0,658.0,28.294903920193597,-0.08750727330743101,209.0,0.08783969504529487
Croatia,4030361,,32680.54648206451,465.2684957997559,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.423686400272104,0.0,0.0,0.0,700.0,1477.2125871603064,-1.712982776363321,342.0,0.06128743393630362
Cuba,11212198,,9932.593056241069,76.07785734786346,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.7659415513863272,0.0,0.0,0.0,525.0,577.2195603395515,-2.4046906593040194,129.0,0.0739243582068013
Curacao,191173,,24000.77416790028,159.54135782772673,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.6647342152867075,0.0,0.0,0.0,672.0,3107.6564159164736,-0.08117695397489791,254.0,0.0515640916730833
Cyprus,896007,,77723.72314055583,161.94069912400238,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.20835427406269294,93.47619047619048,0.0,0.0,742.0,3558.6775549744593,-1.2759699761476426,187.0,0.14531018022167927
Czechia,10493990,,45377.58278786239,414.60874271845125,0.0,65.71154537025478,0.21161537748486647,0.021358694932478755,0.9136862680780584,46.10344827586207,0.034482758620689655,0.0,700.0,2730.820212331058,-6.484334865334111,225.0,0.03955183974764625
Democratic Republic of Congo,99010216,,102.01876541709595,1.4887352634398858,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.4592759061073766,3.619047619047619,0.14285714285714285,0.0,644.0,6.968977827500144,-0.12709644484403337,209.0,0.01776944350234628
Denmark,5882259,,58407.47576738801,164.78363159459659,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.2821276376518295,0.0,0.0,0.0,714.0,5483.369569412023,-6.887816093924698,203.0,0.07053484953535466
Djibouti,1120851,,1399.8292368923255,16.862187748416158,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.2045889101338432,0.0,0.0,0.0,378.0,112.41458498944105,-0.022150298871343628,209.0,0.04903469254537045
Dominica,72758,,22055.30663294758,101.7070287803403,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.4611453854302985,0.0,0.0,0.0,679.0,1330.4378899914786,-0.03238463724057837,209.0,0.06371685405470078
